BODIES
id, mass, x, y, Vx, Vy, moves
0, 1.989000e+30, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1
1, 5.972000e+24, 1.500000e+11, 0.000000e+00, 0.000000e+00, 2.985000e+04, 1
STEPSIZE: 8.640000e+04 sec
MOTION
timestep, id, x, y, Vx, Vy
36, 1, 1.208203e+11, 8.940881e+10, -1.764124e+04, 2.420587e+04
37, 0, 9.224188e+04, 1.956550e+04, 5.419342e-02, 1.785335e-02
37, 1, 1.192784e+11, 9.148715e+10, -1.804935e+04, 2.390386e+04
38, 0, 9.697643e+04, 2.114810e+04, 5.540268e-02, 1.878086e-02
38, 1, 1.177016e+11, 9.353910e+10, -1.845210e+04, 2.359495e+04
39, 0, 1.018148e+05, 2.281171e+04, 5.659548e-02, 1.972879e-02
39, 1, 1.160902e+11, 9.556406e+10, -1.884936e+04, 2.327924e+04
40, 0, 1.067554e+05, 2.455810e+04, 5.777146e-02, 2.069685e-02
40, 1, 1.144447e+11, 9.756146e+10, -1.924103e+04, 2.295683e+04
41, 0, 1.117969e+05, 2.638898e+04, 5.893028e-02, 2.168472e-02
41, 1, 1.127656e+11, 9.953072e+10, -1.962698e+04, 2.262781e+04
42, 0, 1.169378e+05, 2.830606e+04, 6.007160e-02, 2.269209e-02
42, 1, 1.110534e+11, 1.014713e+11, -2.000710e+04, 2.229230e+04
43, 0, 1.221765e+05, 3.031100e+04, 6.119508e-02, 2.371863e-02
43, 1, 1.093086e+11, 1.033826e+11, -2.038128e+04, 2.195041e+04
44, 0, 1.275115e+05, 3.240545e+04, 6.230040e-02, 2.476402e-02
44, 1, 1.075317e+11, 1.052640e+11, -2.074941e+04, 2.160224e+04
45, 0, 1.329412e+05, 3.459103e+04, 6.338722e-02, 2.582792e-02
45, 1, 1.057234e+11, 1.071152e+11, -2.111138e+04, 2.124790e+04
46, 0, 1.384640e+05, 3.686931e+04, 6.445523e-02, 2.691000e-02
46, 1, 1.038840e+11, 1.089354e+11, -2.146709e+04, 2.088751e+04
47, 0, 1.440783e+05, 3.924184e+04, 6.550413e-02, 2.800990e-02
47, 1, 1.020141e+11, 1.107243e+11, -2.181643e+04, 2.052118e+04
48, 0, 1.497823e+05, 4.171017e+04, 6.653361e-02, 2.912728e-02
48, 1, 1.001144e+11, 1.124812e+11, -2.215930e+04, 2.014904e+04
49, 0, 1.555744e+05, 4.427578e+04, 6.754337e-02, 3.026177e-02
49, 1, 9.818527e+10, 1.142058e+11, -2.249561e+04, 1.977119e+04
50, 0, 1.614529e+05, 4.694013e+04, 6.853312e-02, 3.141302e-02
50, 1, 9.622741e+10, 1.158974e+11, -2.282525e+04, 1.938776e+04
51, 0, 1.674161e+05, 4.970466e+04, 6.950258e-02, 3.258065e-02
51, 1, 9.424136e+10, 1.175557e+11, -2.314813e+04, 1.899887e+04
52, 0, 1.734621e+05, 5.257076e+04, 7.045148e-02, 3.376430e-02
52, 1, 9.222771e+10, 1.191802e+11, -2.346417e+04, 1.860466e+04
53, 0, 1.795892e+05, 5.553980e+04, 7.137955e-02, 3.496359e-02
53, 1, 9.018706e+10, 1.207704e+11, -2.377326e+04, 1.820523e+04
54, 0, 1.857956e+05, 5.861312e+04, 7.228652e-02, 3.617813e-02
54, 1, 8.812000e+10, 1.223258e+11, -2.407533e+04, 1.780072e+04
55, 0, 1.920794e+05, 6.179202e+04, 7.317215e-02, 3.740753e-02
55, 1, 8.602714e+10, 1.238461e+11, -2.437030e+04, 1.739126e+04
56, 0, 1.984388e+05, 6.507777e+04, 7.403618e-02, 3.865141e-02
56, 1, 8.390912e+10, 1.253309e+11, -2.465807e+04, 1.697698e+04
57, 0, 2.048719e+05, 6.847160e+04, 7.487839e-02, 3.990938e-02
57, 1, 8.176654e+10, 1.267796e+11, -2.493857e+04, 1.655801e+04
58, 0, 2.113768e+05, 7.197470e+04, 7.569853e-02, 4.118102e-02
